"genero","posicion","nombre","id_pelicula"
"CO","20","Sopa de ganso  (1933)   ","https://www.filmaffinity.com/es/film579952.html"
"CO","21","Vive como quieras  (1938)   ","https://www.filmaffinity.com/es/film483290.html"
"CO","22","Manhattan  (1979)   ","https://www.filmaffinity.com/es/film448855.html"
"CO","23","Cantando bajo la lluvia  (1952)   ","https://www.filmaffinity.com/es/film432676.html"
"CO","24","Siete ocasiones  (1925)   ","https://www.filmaffinity.com/es/film171533.html"
"CO","25","Mary and Max  (2009)   ","https://www.filmaffinity.com/es/film563877.html"
"CO","26","Historias de Filadelfia  (1940)   ","https://www.filmaffinity.com/es/film567410.html"
"CO","27","Annie Hall  (1977)   ","https://www.filmaffinity.com/es/film487991.html"
"CO","28","Bienvenido, Míster Marshall  (1953)   ","https://www.filmaffinity.com/es/film435869.html"
"CO","29","Fellini, ocho y medio (8½)  (1963)   ","https://www.filmaffinity.com/es/film919282.html"
"CO","30","El bazar de las sorpresas  (1940)   ","https://www.filmaffinity.com/es/film778099.html"
"DR","1","El padrino  (1972)   ","https://www.filmaffinity.com/es/film809297.html"
"DR","2","El padrino. Parte II  (1974)   ","https://www.filmaffinity.com/es/film730528.html"
"DR","3","Doce hombres sin piedad  (1957)   ","https://www.filmaffinity.com/es/film695552.html"
"DR","4","La lista de Schindler  (1993)   ","https://www.filmaffinity.com/es/film656153.html"
"DR","5","Testigo de cargo  (1957)   ","https://www.filmaffinity.com/es/film667376.html"
"DR","6","Cadena perpetua  (1994)   ","https://www.filmaffinity.com/es/film161026.html"
"DR","7","El golpe  (1973)   ","https://www.filmaffinity.com/es/film385464.html"
"DR","8","Harakiri (Seppuku)  (1962)   ","https://www.filmaffinity.com/es/film209631.html"
"DR","9","El crepúsculo de los dioses  (1950)   ","https://www.filmaffinity.com/es/film536488.html"
"DR","10","La vida es bella  (1997)   ","https://www.filmaffinity.com/es/film594480.html"
"DR","11","Eva al desnudo  (1950)   ","https://www.filmaffinity.com/es/film412657.html"
"DR","12","Senderos de gloria  (1957)   ","https://www.filmaffinity.com/es/film448956.html"
"DR","13","Los siete samuráis  (1954)   ","https://www.filmaffinity.com/es/film168398.html"
"DR","14","Amanecer  (1927)   ","https://www.filmaffinity.com/es/film357856.html"
"DR","15","El infierno del odio  (1963)   ","https://www.filmaffinity.com/es/film914275.html"
"DR","16","El apartamento  (1960)   ","https://www.filmaffinity.com/es/film795770.html"
"DR","17","Ciudad de Dios  (2002)   ","https://www.filmaffinity.com/es/film412004.html"
"DR","18","El chico  (1921)   ","https://www.filmaffinity.com/es/film344683.html"
"DR","19","La evasión  (1960)   ","https://www.filmaffinity.com/es/film803236.html"
"DR","20","La quimera del oro  (1925)   ","https://www.filmaffinity.com/es/film811454.html"
"DR","21","Uno de los nuestros  (1990)   ","https://www.filmaffinity.com/es/film978961.html"
"DR","22","Casablanca  (1942)   ","https://www.filmaffinity.com/es/film165208.html"
"DR","23","Alguien voló sobre el nido del cuco  (1975)   ","https://www.filmaffinity.com/es/film371621.html"
"DR","24","Barbarroja  (1965)   ","https://www.filmaffinity.com/es/film418007.html"
"DR","25","Dersu Uzala (El cazador)  (1975)   ","https://www.filmaffinity.com/es/film478505.html"
"DR","26","Los olvidados  (1950)   ","https://www.filmaffinity.com/es/film300612.html"
"DR","27","La condición humana III: La plegaria del soldado  (1961)   ","https://www.filmaffinity.com/es/film106223.html"
"DR","28","American History X  (1998)   ","https://www.filmaffinity.com/es/film261972.html"
"DR","29","Cinema Paradiso  (1988)   ","https://www.filmaffinity.com/es/film420972.html"
"DR","30","Vivir (Ikiru)  (1952)   ","https://www.filmaffinity.com/es/film246184.html"
"FAN","1","Qué bello es vivir  (1946)   ","https://www.filmaffinity.com/es/film682814.html"
"FAN","2","Cuentos de la luna pálida  (1953)   ","https://www.filmaffinity.com/es/film568981.html"
"FAN","3","El señor de los anillos: El retorno del rey  (2003)   ","https://www.filmaffinity.com/es/film226427.html"
"FAN","4","El viaje de Chihiro  (2001)   ","https://www.filmaffinity.com/es/film759533.html"
"FAN","5","Fausto  (1926)   ","https://www.filmaffinity.com/es/film486931.html"
"FAN","6","El señor de los anillos: La comunidad del anillo  (2001)   ","https://www.filmaffinity.com/es/film750283.html"
"FAN","7","La princesa Mononoke  (1997)   ","https://www.filmaffinity.com/es/film890814.html"
"FAN","8","Coco  (2017)   ","https://www.filmaffinity.com/es/film893369.html"
"FAN","9","El señor de los anillos: Las dos torres  (2002)   ","https://www.filmaffinity.com/es/film944222.html"
"FAN","10","Los Nibelungos: La muerte de Sigfrido (Los Nibelungos Parte I)  (1924)   ","https://www.filmaffinity.com/es/film848808.html"
"FAN","11","Matrix  (1999)   ","https://www.filmaffinity.com/es/film932476.html"
"FAN","12","Toy Story 3  (2010)   ","https://www.filmaffinity.com/es/film612761.html"
"FAN","13","La milla verde  (1999)   ","https://www.filmaffinity.com/es/film463120.html"
"FAN","14","Big Fish  (2003)   ","https://www.filmaffinity.com/es/film974553.html"
"FAN","15","El muelle (La Jetée)  (1962)   ","https://www.filmaffinity.com/es/film677007.html"
"FAN","16","La carreta fantasma  (1921)   ","https://www.filmaffinity.com/es/film278865.html"
"FAN","17","La muerte cansada  (1921)   ","https://www.filmaffinity.com/es/film830094.html"
"FAN","18","The Stanley Parable  (2013)   ","https://www.filmaffinity.com/es/film738053.html"
"FAN","19","Los Nibelungos: La venganza de Krimilda (Los Nibelungos Parte II)  (1924)   ","https://www.filmaffinity.com/es/film666625.html"
"FAN","20","Macario  (1960)   ","https://www.filmaffinity.com/es/film632795.html"
"FAN","21","El castillo ambulante  (2004)   ","https://www.filmaffinity.com/es/film191978.html"
"FAN","22","Del revés (Inside Out)  (2015)   ","https://www.filmaffinity.com/es/film135623.html"
"FAN","23","Eduardo Manostijeras  (1990)   ","https://www.filmaffinity.com/es/film827774.html"
"FAN","24","Pink Floyd: El muro (Vídeo musical) (1982)   ","https://www.filmaffinity.com/es/film352368.html"
"FAN","25","Your Name  (2016)   ","https://www.filmaffinity.com/es/film307521.html"
"FAN","26","Shrek  (2001)   ","https://www.filmaffinity.com/es/film494558.html"
"FAN","27","Jennie  (1948)   ","https://www.filmaffinity.com/es/film104497.html"
"FAN","28","Milagro en Milán  (1951)   ","https://www.filmaffinity.com/es/film522026.html"
"FAN","29","Onibaba  (1964)   ","https://www.filmaffinity.com/es/film375113.html"
"FAN","30","Toy Story  (1995)   ","https://www.filmaffinity.com/es/film459936.html"
